sib	rel	size	reason	main_rel
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 07 The Factory.wav	35219778	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 07 The Factory.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 04 Distant Energy.wav	33407146	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 04 Distant Energy.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 09 Certainty.wav	29204426	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 09 Certainty.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/03 Weightless.wav	30019714	dup_main	02_中文音效合集/布斯的音效库/气氛音效/03 Weightless.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/04 Distant Energy.wav	33407146	dup_main	02_中文音效合集/布斯的音效库/气氛音效/04 Distant Energy.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/13 Down There.wav	34285682	dup_main	02_中文音效合集/布斯的音效库/气氛音效/13 Down There.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/08 Standstill.wav	22837610	dup_main	02_中文音效合集/布斯的音效库/气氛音效/08 Standstill.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/01 Pin Points.wav	33667722	dup_main	02_中文音效合集/布斯的音效库/气氛音效/01 Pin Points.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/14 Boiler Room.wav	32012496	dup_main	02_中文音效合集/布斯的音效库/气氛音效/14 Boiler Room.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/05 Hum.wav	21889898	dup_main	02_中文音效合集/布斯的音效库/气氛音效/05 Hum.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/11 Reverent B.wav	24658522	dup_main	02_中文音效合集/布斯的音效库/气氛音效/11 Reverent B.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/02 Transcend.wav	33409168	dup_main	02_中文音效合集/布斯的音效库/气氛音效/02 Transcend.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/07 The Factory.wav	35215284	dup_main	02_中文音效合集/布斯的音效库/气氛音效/07 The Factory.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/16 Hollow.wav	29446458	dup_main	02_中文音效合集/布斯的音效库/气氛音效/16 Hollow.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/15 Stranded.wav	28120112	dup_main	02_中文音效合集/布斯的音效库/气氛音效/15 Stranded.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones/18 Sub Below.wav	23917330	dup_main	02_中文音效合集/布斯的音效库/气氛音效/18 Sub Below.wav
