总文件: 162431

== 顶层构成（136 项）==
            3个    0.01GiB ← 音效/Sound Morph - Matter Mayhem/08. Debris - Stone
  [  1.13 GiB / 3处] cd3
          131个    0.54GiB ← [Sound.Ideas]The Underwater Sound Effects Series/CD3
           92个    0.52GiB ← [Hollywood.Edge]The Eerie Edition Sound FX_可怕的/CD3
           52个    0.06GiB ← 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/高品质汽车音效/CD3
  [  1.12 GiB / 29处] sound-effects
          156个    0.14GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Cinematic Session Industrial Samp
          136个    0.12GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Blaster FX/BFx-wav/sound-effects
          156个    0.12GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Cinematic Session Industrial Samp
          155个    0.11GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Dubstep FX/Dtp-wav/sound-effects
  [  1.03 GiB / 4处] phrases-and-atmospheres
          136个    0.51GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]The Thin Blue Line/phrases-and-at
           94个    0.27GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Dark Atmospheres & SFX 01/Dark-At
           94个    0.24GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Dark Atmospheres & SFX 02/DASFX-0
           12个    0.02GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Austral Drum and Bass/phrases-and
  [  1.03 GiB / 2处] atmosphere
           19个    1.03GiB ← 魔法法术咒语技能释放音效/Cinetools Witchcraft/Designer Tools/Atmosphere
            3个    0.00GiB ← 音效/音效素材1/电影电视音效全集/VOL-091/NEW_YORK_DANCE_VOL_1/LOOPS/ONE_SHOTS/ATMOSPHERE
  [  0.98 GiB / 2处] _(wavs)_fire
           70个    0.92GiB ← 音效/音效/BD音效库/极品音效库/魔法&科幻/魔法&科幻/科幻魔法音效/_(WAVs)_Elemental_(Sweetner_Layers)/_(WAVs)
           18个    0.06GiB ← 音效/音效/BD音效库/极品音效库/魔法&科幻/魔法&科幻/科幻魔法音效/_(WAVs)_Elemental_(Designed)/_(WAVs)_Fire
  [  0.87 GiB / 2处] tonsturm_01_breaking_glass_decoded_ms_to_lr_96khz
           98个    0.86GiB ← [Tonsturm]01 Breaking Glass/TONSTURM_01_Breaking_Glass_Decoded_MS_to_LR_96kHz
            1个    0.00GiB ← 音效/[Tonsturm]01 Breaking Glass/TONSTURM_01_Breaking_Glass_Decoded_MS_to_LR_96kHz
  [  0.82 GiB / 3处] 汽车
           46个    0.75GiB ← 汽车
           33个    0.06GiB ← 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/交通类/汽车
           26个    0.01GiB ← Wind/百万剪辑狮的音效库/载具音效/汽车/汽车
  [  0.78 GiB / 3处] sound-effects-and-atmospheres
          114个    0.38GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Ambient Injection Evolving Energy
          100个    0.37GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Lightning Blue/Light-wav/sound-ef
           25个    0.02GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Arctic Drum And Bass/sound-effect
  [  0.76 GiB / 3处] 4 water
           51个    0.68GiB ← 4 Water
            2个    0.07GiB ← Pro Sound Effect/4 Water
            1个    0.00GiB ← 音效/4 Water
  [  0.74 GiB / 2处] atmospheres
           12个    0.42GiB ← 气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres
           11个    0.31GiB ← 气氛音乐音效/Archetype SFX/06 - Atmospheres/Atmospheres
  [  0.73 GiB / 2处] 26.sci fi,beeps,computers,industry,chemistry,lab,h
           99个    0.72GiB ← 26.Sci Fi,Beeps,Computers,Industry,Chemistry,Lab,Hospital
            1个    0.01GiB ← Pro Sound Effect/26.Sci Fi,Beeps,Computers,Industry,Chemistry,Lab,Hospital
  [  0.72 GiB / 9处] whooshes
           48个    0.44GiB ← Boom Library - Close Combat Bundle/Triune Sound- Fighting SFX Pack 电影真实武打搏斗动作音效合
           27个    0.11GiB ← 气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes
           48个    0.07GiB ← 魔法法术咒语技能释放音效/Cinetools Witchcraft/Designer Tools/Bonus/Whooshes
           19个    0.06GiB ← 气氛音乐音效/Archetype SFX/03 - Whooshes/Whooshes
  [  0.72 GiB / 3处] 49.nature ambiences
           38个    0.61GiB ← 49.Nature Ambiences
            5个    0.09GiB ← Pro Sound Effect/49.Nature Ambiences
            1个    0.02GiB ← 音效/49.Nature Ambiences

== 连续同名套娃目录: 953 个 / 内含文件 28038 ==
     1147个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/其他类
      590个 ｜ 音效/音效素材3/音效素材3/综合音效
      443个 ｜ 音效/音效素材3/音效素材3/特酷音效系列/日常生活
      402个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/实用类/循环/002
      328个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/日常生活声音
      327个 ｜ 音效/音效/BD音效库/极品音效库/Designer Sound FX/Designer Sound FX/人类的声音/HumanElements
      312个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/ScienceFiction
      301个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/工业2
      293个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/交通工具
      262个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/冲击
      262个 ｜ 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/Sports
      259个 ｜ 音效/音效/BD音效库/极品音效库/Designer Sound FX/Designer Sound FX/人类的声音/CommercialFemale

== 含「备用」目录: 16 个 / 文件 155 / 0.05 GiB ==
